20	1	3	1	31	34
20	1	3	1	31	34
20	1	1	1	31	32
20	1	3	1	31	34
20	1	1	1	31	32
45	4	13	10	107	120
45	4	13	10	107	120
45	4	11	9	107	118
45	4	11	10	107	118
45	4	11	9	107	118
180	1	3	1	863	866
180	1	3	1	863	866
180	1	3	1	863	866
180	1	3	1	863	866
180	1	3	1	863	866
245	24	57	50	1371	1428
245	24	57	50	1371	1428
245	24	57	50	1371	1428
245	24	55	50	1371	1426
245	23	57	49	1371	1428
500	1	3	1	3999	4002
500	1	3	1	3999	4002
500	1	3	1	3999	4002
500	1	1	1	3999	4000
500	1	3	1	3999	4002
605	60	131	121	5323	5454
605	60	135	122	5323	5458
605	60	135	122	5323	5458
605	60	133	121	5323	5456
605	60	131	121	5323	5454
2000	1	1	1	31999	32000
2000	1	3	1	31999	32002
2000	1	1	1	31999	32000
2000	1	3	1	31999	32002
2000	1	3	1	31999	32002
2205	220	467	442	37043	37510
2205	220	461	441	37043	37504
2205	220	461	441	37043	37504
2205	220	457	442	37043	37500
2205	220	461	441	37043	37504
