3	2	1	1
4	3	1	1
5	5	1	1
6	7	3	2
7	14	4	2
8	12	2	1
9	17	4	2
10	22	4	3
11	15	6	3
12	27	5	3
13	41	9	4
14	47	4	2
15	57	6	2
16	63	9	5
17	68	9	4
18	62	7	4
19	79	6	4
20	101	10	5
21	98	9	6
22	113	9	4
23	119	10	6
24	129	13	8
25	154	13	6
26	156	12	6
27	184	14	7
28	176	13	7
29	210	22	10
30	223	16	9
31	231	17	8
32	233	17	8
33	260	18	9
34	275	13	7
35	304	15	8
36	329	14	6
37	332	15	9
38	359	16	9
39	384	16	9
40	389	23	12
41	426	18	10
42	431	20	11
43	476	21	11
44	464	23	13
45	472	22	14
46	508	24	11
47	550	23	14
48	564	20	10
49	584	23	11
50	598	26	14
51	649	21	10
52	655	27	15
53	740	23	12
54	727	23	12
55	740	25	15
56	799	24	13
57	812	27	14
58	851	28	14
59	876	25	13
60	889	31	14
61	908	37	18
62	965	36	17
63	997	36	18
64	1020	32	16
65	1006	35	18
66	1044	33	17
67	1108	27	14
68	1147	30	15
69	1179	37	19
70	1241	30	16
71	1221	30	15
72	1266	35	18
73	1325	43	23
74	1378	30	17
75	1404	32	16
76	1481	35	19
77	1479	29	14
78	1509	41	20
79	1566	33	17
80	1512	34	17
81	1613	39	19
82	1648	34	16
83	1691	40	20
84	1782	40	22
85	1791	36	19
86	1830	45	23
87	1902	42	22
88	1870	43	23
89	1900	42	22
90	2020	45	23
91	2088	39	20
92	2097	39	21
93	2156	47	24
94	2175	55	27
95	2205	48	24
96	2258	46	22
97	2303	52	25
98	2337	48	25
99	2355	40	20
100	2415	49	26
