20	149
22	125
24	269
26	304
28	453
30	170
32	114
34	121
36	255
38	184
40	229
42	379
44	268
46	493
48	514
50	738
52	602
54	789
56	661
58	982
60	1066
62	933
64	981
66	1270
68	1207
70	1184
72	1125
74	1919
76	2071
78	1820
80	1838
82	2036
84	2650
86	2302
88	2464
90	2833
92	2592
94	3085
96	3288
98	4117
100	3441
102	3094
104	3553
106	4239
108	3420
110	4477
112	4221
114	3815
116	5200
118	5237
120	6185
122	6391
124	6879
126	7470
128	6468
130	6369
132	7854
134	7036
136	7286
138	10063
140	8230
142	9167
144	8975
146	10037
148	9299
150	9474
