3	1	1
4	3	2
5	1	1
6	3	1
7	2	1
8	3	3
9	5	3
10	5	4
11	4	2
12	4	2
13	5	4
14	6	3
15	7	3
16	9	5
17	8	4
18	11	6
19	9	5
20	5	4
21	10	6
22	13	5
23	12	6
24	8	5
25	13	7
26	12	6
27	13	7
28	11	6
29	18	9
30	16	7
31	11	7
32	18	11
33	11	6
34	20	11
35	15	8
36	18	8
37	22	12
38	15	8
39	19	8
40	16	9
41	17	9
42	22	11
43	22	12
44	17	9
45	25	15
46	20	11
47	16	8
48	22	11
49	24	11
50	30	17
51	24	13
52	25	13
53	23	13
54	26	13
55	26	13
56	21	12
57	29	16
58	29	14
59	29	14
60	29	14
61	32	17
62	31	17
63	33	16
64	29	16
65	31	17
66	27	13
67	30	16
68	35	19
69	35	19
70	37	17
71	32	17
72	42	22
73	37	18
74	38	21
75	43	21
76	34	16
77	36	17
78	38	20
79	39	20
80	41	20
81	36	19
82	39	21
83	33	16
84	36	16
85	40	21
86	33	18
87	50	26
88	38	20
89	40	19
90	46	24
91	37	20
92	43	23
93	49	25
94	48	24
95	45	23
96	45	22
97	45	23
98	49	24
99	54	27
100	48	23
