0	14235	16	13	15	11	0
10	14264	14	13	49	12	10
20	14269	13	12	12	11	20
30	14275	32	12	12	10	30
40	14261	31	12	18	19	40
50	14257	39	30	12	11	50
60	14262	350	12	11	12	60
70	14268	4741	14	23	212	70
80	14270	14005	16	33	11	80
90	14266	12930	33	13	21	90
100	14269	14248	25	12	108	100
110	14271	14241	56	16	83	110
120	14263	14245	84	53	11	120
130	14269	14241	80	33	17	130
140	14247	14237	1549	40	13	140
150	14263	14260	2324	72	32	150
160	14265	14238	9134	98	44	160
170	14222	14236	8011	12	163	170
180	14266	14264	14204	24	73	180
190	14267	14195	14243	104	95	190
200	14269	14247	14221	109	93	200
210	13902	14247	14260	191	45	210
220	14268	14246	14245	10578	31	220
230	14270	14239	14203	14145	160	230
240	13635	14253	14165	14129	124	240
250	14267	14270	14249	14223	170	250
260	14267	14206	14194	14159	2218	260
270	14268	14239	14263	14176	1476	270
280	14269	14240	13999	14227	1667	280
290	14265	14257	14264	14111	6031	290
300	14096	14274	14192	14170	11637	300
310	14268	14239	14240	14156	14217	310
320	14253	14270	14261	14166	14226	320
330	14224	14258	14190	14082	14244	330
340	14271	14239	14206	14213	13731	340
350	14268	13958	14269	14232	14214	350
360	14272	14247	14221	14105	14239	360
370	14255	14246	14266	14243	14101	370
380	14261	14218	14219	14137	14212	380
390	14235	14241	14217	12232	14211	390
400	14267	14268	14251	14187	14093	400
410	14267	14251	14267	14259	14100	410
420	14271	14260	14266	14136	14260	420
430	14268	14260	12920	14239	14169	430
440	14245	14241	14240	14145	14046	440
450	14268	14269	14264	13934	14237	450
460	14249	14253	14257	14102	14250	460
470	14266	13615	14232	14168	14170	470
480	14251	14251	14266	14265	14198	480
490	14263	14268	14190	14220	14134	490
